Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Number of doctoral degrees awarded in academic year 2013,Number of doctoral degrees awarded in academic year 2014,Number of doctoral degrees awarded in academic year 2015,Number of doctoral degrees awarded in academic year 2016,Number of doctoral degrees awarded in academic year 2017,Number of doctoral degrees awarded in academic year 2018,Number of doctoral degrees awarded in academic year 2019
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,56.57,43.49,42.84,49.76,43.01,53.32,33.3
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,5.53,1.33,6,3.66,1.83,9.33,2.53
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,4.75,8.67,7,1.67,5.58,6.5,5
10007783,University of Aberdeen,A,5,Biological Sciences,,,,13.82,17.74,13.33,12.26,14.7,9.04,17.37
10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,,41.39,37.27,33.1,34.23,41.72,47.39,43.1
10007783,University of Aberdeen,B,8,Chemistry,,,,13.03,9,5.5,8.3,5.5,11.45,16.2
10007783,University of Aberdeen,B,10,Mathematical Sciences,,,,8,5,6,5.5,6,6,4.45
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,2,10.67,7.05,3.9,2.33,6.4,6.9
10007783,University of Aberdeen,B,12,Engineering,,,,14.25,13.5,16.45,18.7,16.15,20.28,21.15
10007783,University of Aberdeen,C,15,Archaeology,,,,4.75,2.33,4.9,5,1.8,2,1.5
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,7,9.5,13.48,6.53,6.3,17.34,11
10007783,University of Aberdeen,C,18,Law,,,,10,9.2,15.6,5,16.63,13.6,4
10007783,University of Aberdeen,C,19,Politics and International Studies,,,,6,1,6.5,4.75,2.46,7.1,3
10007783,University of Aberdeen,C,21,Sociology,,,,3.5,3.5,2,5,0,5.5,3
10007783,University of Aberdeen,C,22,Anthropology and Development Studies,,,,2.9,5,5.35,9.25,5.2,6.8,5.9
10007783,University of Aberdeen,C,23,Education,,,,4.5,5,2.5,7.5,2.08,8.7,11.5
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,4.8,0.7,6.75,2.5,5.58,2.5,3.6
10007783,University of Aberdeen,D,27,English Language and Literature,,,,9.7,11,4,7,8.8,10.8,6.5
10007783,University of Aberdeen,D,28,History,,,,8.5,5.5,10.1,7.5,7.83,7,3.5
10007783,University of Aberdeen,D,30,Philosophy,,,,1,4.5,4.9,0.5,4.8,1,0
10007783,University of Aberdeen,D,31,Theology and Religious Studies,,,,13.5,16.1,15,19.5,15.2,19.75,15
10007783,University of Aberdeen,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2.5,1,1.65,0,3.5,5.2,4.5
10007849,Abertay University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,1.5,5,0.5,2.5,1.5,3
10007849,Abertay University,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,1.5,1.5,0,2,0,1
10007849,Abertay University,A,6,"Agriculture, Food and Veterinary Sciences",,,,3.5,1,3,0.5,0,3,0.5
10007849,Abertay University,B,12,Engineering,,,,7,4,6.5,6,1.5,3,5.5
10007849,Abertay University,C,18,Law,,,,0,0,1,1,0,0,0
10007849,Abertay University,C,21,Sociology,,,,0,1,0,0,1.5,0,3.5
10007849,Abertay University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,0,1,2,1.5,0.5,0
10007849,Abertay University,D,32,"Art and Design: History, Practice and Theory",,,,2.5,0,1,3,1,2,1.5
10007856,Aberystwyth University,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,0,0,1,1,1.5,1
10007856,Aberystwyth University,A,6,"Agriculture, Food and Veterinary Sciences",,,,19,19.5,24,17,15.5,22,26.5
10007856,Aberystwyth University,B,9,Physics,,,,3,3,2,7,3.5,2.5,2.5
10007856,Aberystwyth University,B,10,Mathematical Sciences,,,,1,0,4,0,4,0.5,2
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,5,3,9,8,7.5,6,6
10007856,Aberystwyth University,C,14,Geography and Environmental Studies,,,,8,8.5,7,10,12,6.5,9
10007856,Aberystwyth University,C,17,Business and Management Studies,,,,3,5,6,8,3,7,4
10007856,Aberystwyth University,C,18,Law,,,,4,5,5,5,1,1,1
10007856,Aberystwyth University,C,19,Politics and International Studies,,,,7,12,10,7,9.5,13.5,2
10007856,Aberystwyth University,D,26,Modern Languages and Linguistics,,,,3,1,5,2,1,2,1.5
10007856,Aberystwyth University,D,27,English Language and Literature,,,,7,6,12,12,7,5.2,6
10007856,Aberystwyth University,D,28,History,,,,1,3,6.5,2,3,3.5,3.5
10007856,Aberystwyth University,D,32,"Art and Design: History, Practice and Theory",,,,2,1,2,1,2,2,0
10007856,Aberystwyth University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,6,9,7.5,6,10,1,1
10000163,AECC University College,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,8,7,6,19,10,16
10000291,Anglia Ruskin University,A,4,"Psychology, Psychiatry and Neuroscience",,,,3,1,2,2,0,5,2
10000291,Anglia Ruskin University,B,12,Engineering,,,,4,2,4,4,7,9,4
10000291,Anglia Ruskin University,C,13,"Architecture, Built Environment and Planning",,,,0,2,1,6,5,0,3
10000291,Anglia Ruskin University,C,14,Geography and Environmental Studies,,,,1,0,1,2,4,1,5
10000291,Anglia Ruskin University,C,17,Business and Management Studies,,,,3,5,6,15,18,7,13
10000291,Anglia Ruskin University,C,18,Law,,,,2,2,2,4,3,2,6
10000291,Anglia Ruskin University,C,20,Social Work and Social Policy,,,,6,1,3,3,8,3,6
10000291,Anglia Ruskin University,C,21,Sociology,,,,1,2,2,0,4,1,8
10000291,Anglia Ruskin University,C,23,Education,,,,5,6,4,7,5,7,2
10000291,Anglia Ruskin University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,0,0,1,1,1,2
10000291,Anglia Ruskin University,D,27,English Language and Literature,,,,1,5,3,12,4,5,7
10000291,Anglia Ruskin University,D,28,History,,,,1,0,0,0,0,3,1
10000291,Anglia Ruskin University,D,32,"Art and Design: History, Practice and Theory",,,,1,4,2,3,2,1,3
10000291,Anglia Ruskin University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,4,3,2,4,4,2,2
10000291,Anglia Ruskin University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,0,0,4,2,2,4,2
10000385,Arts University Bournemouth,D,32,"Art and Design: History, Practice and Theory",,,,0,0,0,0,0,2,1
10000385,Arts University Bournemouth,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,0,0,1,0,0,0,0
10007162,"University of the Arts, London",D,32,"Art and Design: History, Practice and Theory",,,,8,18,26,24,37,22,28
10007759,Aston University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,27.33,28.55,27.75,33,27.99,26.07,34.92
10007759,Aston University,B,11,Computer Science and Informatics,,,,1.67,3.91,4.99,3.67,2.67,4,2.67
10007759,Aston University,B,12,Engineering,,,,19,19.34,23.51,11,34.34,16.93,14.66
10007759,Aston University,C,17,Business and Management Studies,,,,17,14.2,27,22.33,16.5,18,13.75
10007759,Aston University,C,21,Sociology,,,,1,0.5,1.75,2.5,0.5,2,0
10007759,Aston University,D,25,Area Studies,,,,2,0,0,0,1,0,1
10007759,Aston University,D,26,Modern Languages and Linguistics,,,,4,4.5,2,2.5,2,6,2
10007857,Bangor University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,9,11,12,14,11,9,12
10007857,Bangor University,A,4,"Psychology, Psychiatry and Neuroscience",,,,24,21,29,33,14,20,40
10007857,Bangor University,B,7,Earth Systems and Environmental Sciences,,,,43,21,47,27,27,30,34
10007857,Bangor University,B,12,Engineering,,,,18,11,6,13,8,12,15
10007857,Bangor University,C,17,Business and Management Studies,,,,6,9,10,7,8,14,12
10007857,Bangor University,C,21,Sociology,,,,27,25,12,14,18,12,14
10007857,Bangor University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,6,10,11,7,5,6,7
10007857,Bangor University,D,26,Modern Languages and Linguistics,,,,8,18,15,7,6,11,16
10007857,Bangor University,D,27,English Language and Literature,,,,11,6,6,5,7,7,5
10007850,University of Bath,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,17.05,15.72,16.55,14.7,9.8,13.4,13.05
10007850,University of Bath,A,4,"Psychology, Psychiatry and Neuroscience",,,,2.73,19.33,29.25,22.5,24.7,24.05,20.8
10007850,University of Bath,A,5,Biological Sciences,,,,19.7,23.38,19.18,13.7,14.45,19.6,15.05
10007850,University of Bath,B,8,Chemistry,,,,33.77,23.32,30.57,28.78,22.1,35,34.6
10007850,University of Bath,B,9,Physics,,,,13.64,15.8,10.06,10.85,7.65,19.2,13.73
10007850,University of Bath,B,10,Mathematical Sciences,,,,13.17,13.55,13.1,9.5,10,13.55,19.5
10007850,University of Bath,B,11,Computer Science and Informatics,,,,9,18.9,7.7,3.6,11.95,5.75,11.85
10007850,University of Bath,B,12,Engineering,,,,49.49,62.79,56.94,63.49,60.5,64.4,57.17
10007850,University of Bath,C,16,Economics and Econometrics,,,,6.88,3.21,5.06,3,7.75,5,8.7
10007850,University of Bath,C,17,Business and Management Studies,,,,17.17,18.8,18.65,12.4,19,18.05,18.8
10007850,University of Bath,C,19,Politics and International Studies,,,,4.5,4.13,4.5,3.63,6.5,4.5,4.73
10007850,University of Bath,C,20,Social Work and Social Policy,,,,11.38,17.13,15.44,13.88,19.3,10.88,6.07
10007850,University of Bath,C,23,Education,,,,14.27,14.5,22.95,21.15,15.85,22.8,24.6
10007850,University of Bath,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,2,12.05,5.65,11.4,6.25,8.9,11.05
10000571,Bath Spa University,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,2,0,0,0.5,0,0
10000571,Bath Spa University,C,14,Geography and Environmental Studies,,,,0,0,1,0,0,0,0
10000571,Bath Spa University,C,17,Business and Management Studies,,,,0,0,0,0,0,1,0
10000571,Bath Spa University,C,23,Education,,,,2,2,0,0,4.5,2,2
10000571,Bath Spa University,D,27,English Language and Literature,,,,1,8,4,4,6,5,4
10000571,Bath Spa University,D,28,History,,,,1,0,0,0,1,2,0
10000571,Bath Spa University,D,32,"Art and Design: History, Practice and Theory",,,,4,1,0,4,4,0,2
10000571,Bath Spa University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,1,0,2,3,2,1,1
10000571,Bath Spa University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,0,0,0,3,2,0,0
10007152,University of Bedfordshire,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,1,3,7,2,7,7.67
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,8,7.25,9,5.5,5,4,4
10007152,University of Bedfordshire,B,12,Engineering,,,,2,1,3,3,5,4,3
10007152,University of Bedfordshire,C,17,Business and Management Studies,,,,7,7.5,9,9.5,4.33,13.75,12
10007152,University of Bedfordshire,C,20,Social Work and Social Policy,,,,10,9.75,6,2,6,6,4.33
10007152,University of Bedfordshire,C,23,Education,,,,3.25,4.25,5,2.25,6.75,3,1
10007152,University of Bedfordshire,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,7,4,3,3,6,2,1
10007152,University of Bedfordshire,D,27,English Language and Literature,,,,1,3,5,4,5,3,4
10007152,University of Bedfordshire,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,1,6,6,3,2,2,2
10007760,Birkbeck College,A,4,"Psychology, Psychiatry and Neuroscience",,,,4.5,12.5,13,10.5,17.5,19,12
10007760,Birkbeck College,A,5,Biological Sciences,,,(joint submission with Institute of Zoology and University College London),7,15,6,10,5,8,9
10007760,Birkbeck College,B,7,Earth Systems and Environmental Sciences,,,(joint submission with University College London),1,4,2,5,5,2,4
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,4,1,2,4.5,3.5,5,3
10007760,Birkbeck College,C,14,Geography and Environmental Studies,,,,1,5,4,2,2,1,2
10007760,Birkbeck College,C,16,Economics and Econometrics,,,,1,6,3,8,7,3,9
10007760,Birkbeck College,C,17,Business and Management Studies,,,,4,12,6,4.5,6.5,8,6
10007760,Birkbeck College,C,18,Law,,,,4,7,6,10,10,10,8
10007760,Birkbeck College,C,19,Politics and International Studies,,,,1,1,3,2,1,4,3
10007760,Birkbeck College,C,21,Sociology,,,,9,6,7,2,5,4,7
10007760,Birkbeck College,D,26,Modern Languages and Linguistics,,,,10,9.5,8,8.5,11.5,11,13
10007760,Birkbeck College,D,27,English Language and Literature,,,,11,13,9,15,11,10,20
10007760,Birkbeck College,D,28,History,,,,11,10,14,10,14.5,8,6
10007760,Birkbeck College,D,30,Philosophy,,,,4,6,5,3,3,3,5
10007760,Birkbeck College,D,32,"Art and Design: History, Practice and Theory",,,,5,12.5,8.5,10,8,11.5,4
10006840,University of Birmingham,A,1,Clinical Medicine,,,,71.49,76.8,63.37,92.37,90.5,68.43,70.5
10006840,University of Birmingham,A,2,"Public Health, Health Services and Primary Care",,,,14.22,17.07,14.44,9.93,11.35,8.06,12.52
10006840,University of Birmingham,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,8.46,7.08,4.67,17.11,8.1,10.23,15.18
10006840,University of Birmingham,A,4,"Psychology, Psychiatry and Neuroscience",,,,30,26.33,28.5,16.45,32.55,44.5,65.71
10006840,University of Birmingham,A,5,Biological Sciences,,,,30.54,24.57,28.2,28.5,24.75,37.98,22.79
10006840,University of Birmingham,B,7,Earth Systems and Environmental Sciences,,,,10.5,12.6,16.9,16.15,18.45,11.42,14.25
10006840,University of Birmingham,B,8,Chemistry,,,,19.25,22.75,27.2,23.65,31.05,18.9,17.77
10006840,University of Birmingham,B,9,Physics,,,,25,24,28.9,23.35,33.7,29.03,24.3
10006840,University of Birmingham,B,10,Mathematical Sciences,,,,8.6,29.5,11.05,11.2,7.5,14,7
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,19.25,19.75,25.3,21.1,22,27,11.7
10006840,University of Birmingham,B,12,Engineering,,,,100.55,128.85,140.21,138.15,160.56,118.75,129.55
10006840,University of Birmingham,C,14,Geography and Environmental Studies,,,,9.5,11,12.51,15.75,8.35,11.5,12.85
10006840,University of Birmingham,C,17,Business and Management Studies,,,,22,18,27.5,23.5,34.65,28.8,25.85
10006840,University of Birmingham,C,18,Law,,,,8,4,7,9.5,11.75,11.1,10
10006840,University of Birmingham,C,19,Politics and International Studies,,,,18.5,17,14.4,18,13.5,9.05,9.4
10006840,University of Birmingham,C,20,Social Work and Social Policy,,,,8.5,6.7,11.6,9.73,3.7,4.1,11.73
10006840,University of Birmingham,C,22,Anthropology and Development Studies,,,,2,1.5,2.5,4,7,4,4.3
10006840,University of Birmingham,C,23,Education,,,,41,24.5,46,33.6,33.9,31.9,27.5
10006840,University of Birmingham,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,16.44,8.5,21.1,14.02,11.85,19.2,23.35
10006840,University of Birmingham,D,25,Area Studies,,,,6,1,4,0,0,3.8,1.5
10006840,University of Birmingham,D,26,Modern Languages and Linguistics,,,,4.5,9.5,3.33,10,10.5,7.7,6.5
10006840,University of Birmingham,D,27,English Language and Literature,,,,23,18.5,26.2,32,32.5,31.3,32.3
10006840,University of Birmingham,D,28,History,,,,12.5,15.5,10.5,14.34,13.5,7.9,16.2
10006840,University of Birmingham,D,29,Classics,,,,8,9,10.33,20,14.75,19.8,9.9
10006840,University of Birmingham,D,30,Philosophy,,,,0.2,5,4,3,8.3,4.8,5
10006840,University of Birmingham,D,31,Theology and Religious Studies,,,,18.5,20,16.5,16,28.5,21.85,15.9
10006840,University of Birmingham,D,32,"Art and Design: History, Practice and Theory",,,,1,1.5,2,3,2,2.2,1.5
10006840,University of Birmingham,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,8.5,3.5,9.8,6.5,3.75,7.8,7.8
10007140,Birmingham City University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,7,3,2,1,5,4
10007140,Birmingham City University,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,1,0,0,1,2,3
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,0,1,1,1,5,5,5
10007140,Birmingham City University,B,12,Engineering,,,,0,1,1,3,1,3,4
10007140,Birmingham City University,C,13,"Architecture, Built Environment and Planning",,,,1,3,1,3,2,0,3
10007140,Birmingham City University,C,17,Business and Management Studies,,,,6,7,6,2,4,4,4
10007140,Birmingham City University,C,18,Law,,,,0,0,0,0,2,2,1
10007140,Birmingham City University,C,20,Social Work and Social Policy,,,,1,0,3,0,1,0,0
10007140,Birmingham City University,C,21,Sociology,,,,0,0,0,0,0,0,1
10007140,Birmingham City University,C,23,Education,,,,5,4,1,0,4,5,6
10007140,Birmingham City University,D,27,English Language and Literature,,,,1,2,0,0,2,1,2
10007140,Birmingham City University,D,32,"Art and Design: History, Practice and Theory",,,,5,4,5,5,12,7,7
10007140,Birmingham City University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2,4,10,5,7,10,11
10007140,Birmingham City University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,0,0,2,2,6,2,6
10007811,Bishop Grosseteste University,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,0,0,0,0,0,0
10007811,Bishop Grosseteste University,C,23,Education,,,,1,0,0,2,3,4,2
10007811,Bishop Grosseteste University,D,27,English Language and Literature,,,,0,0,0,0,0,0,0
10007811,Bishop Grosseteste University,D,28,History,,,,0,0,0,0,0,0,0
10007811,Bishop Grosseteste University,D,31,Theology and Religious Studies,,,,0,0,0,0,0,0,0
10006841,University of Bolton,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,0,0,0,0,1,0,1
10006841,University of Bolton,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,1,0,2,0,3,3
10006841,University of Bolton,B,12,Engineering,,,,5,7,4,4,2,2,4
10006841,University of Bolton,C,17,Business and Management Studies,,,,6,1,1,0,10,9,13
10006841,University of Bolton,C,23,Education,,,,2,4,1,2,3,1,5
10006841,University of Bolton,D,27,English Language and Literature,,,,1,2,3,1,2,0,1
10006841,University of Bolton,D,32,"Art and Design: History, Practice and Theory",,,,0,0,0,0,0,2,0
10000824,Bournemouth University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2.5,7.83,7.5,12,9,10.5,8
10000824,Bournemouth University,A,4,"Psychology, Psychiatry and Neuroscience",,,,1.33,0,4.33,4,7.5,10.67,3.5
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,2,2,6.67,6.5,12.5,7.83,13.5
10000824,Bournemouth University,B,12,Engineering,,,,6.67,2.5,6,7,3.5,4,3
10000824,Bournemouth University,C,14,Geography and Environmental Studies,,,,6,5.5,9,13.17,8.5,7.5,8
10000824,Bournemouth University,C,15,Archaeology,,,,5,1.5,0,4.33,3.5,3.5,4
10000824,Bournemouth University,C,17,Business and Management Studies,,,,2,4.5,6.33,6,15.5,7.5,8
10000824,Bournemouth University,C,18,Law,,,,0,0,3,0,0,1,2
10000824,Bournemouth University,C,20,Social Work and Social Policy,,,,1.5,3.67,3.33,1.5,3.5,3,3.5
10000824,Bournemouth University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,7,6,5,5.5,3.5,8,5.5
10000824,Bournemouth University,D,27,English Language and Literature,,,,0,0,0.5,0.33,1,1,0
10000824,Bournemouth University,D,32,"Art and Design: History, Practice and Theory",,,,2,1,5.83,8,8,9.5,7
10000824,Bournemouth University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,2,8.5,8.5,7.67,6,10,10
10007785,University of Bradford,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,20.8,17.9,22.3,15.8,27.5,14.95,21.1
10007785,University of Bradford,A,4,"Psychology, Psychiatry and Neuroscience",,,,2,0,3,3,2,2,1
10007785,University of Bradford,B,8,Chemistry,,,,0,0.7,2,0.2,1,0,0.3
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,10.5,8.5,12,7.6,15.5,10.1,14.4
10007785,University of Bradford,B,12,Engineering,,,,11.2,8.6,17.7,13.1,8.5,23.95,23.1
10007785,University of Bradford,C,15,Archaeology,,,,5,3.3,2,4.8,4.5,3,1
10007785,University of Bradford,C,17,Business and Management Studies,,,,8.5,7,9,6.5,13.5,11.5,12.1
10007785,University of Bradford,C,19,Politics and International Studies,,,,10,9,11,12,6.5,15.5,4
10000886,University of Brighton,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,(joint submission with University of Sussex),21,20,23,17,24,23,9
10000886,University of Brighton,B,11,Computer Science and Informatics,,,,2,2,1.83,6.5,4,15.5,7.83
10000886,University of Brighton,B,12,Engineering,,,,3.5,4,7.67,3,6.17,9.67,5.83
10000886,University of Brighton,C,14,Geography and Environmental Studies,,,,4.5,7.5,7.5,7.83,10.67,6.67,4.25
10000886,University of Brighton,C,17,Business and Management Studies,,,,5,1,1.5,3,4,11,1.67
10000886,University of Brighton,C,20,Social Work and Social Policy,,,,2,6.5,3,1.33,5,5.5,5.17
10000886,University of Brighton,C,23,Education,,,,0,3.5,5.5,3,4.83,5.5,2
10000886,University of Brighton,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,2,2.5,4.5,10,5,9.17,6.17
10000886,University of Brighton,D,32,"Art and Design: History, Practice and Theory",,,,4,4,6.5,6.83,7.5,9.5,5
10000886,University of Brighton,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,1.5,4,3,6,4.83,9.33,12.08
10007786,University of Bristol,A,1,Clinical Medicine,,,,34,44.43,40.58,30.11,48.16,31.95,31.4
10007786,University of Bristol,A,2,"Public Health, Health Services and Primary Care",,,,21.27,20.53,26.3,16.46,21.06,17.18,23.03
10007786,University of Bristol,A,4,"Psychology, Psychiatry and Neuroscience",,,,33.5,29.79,28.13,25.45,27.63,28.97,26.37
10007786,University of Bristol,A,5,Biological Sciences,,,,31.03,42.73,28.1,33.16,31.5,35.43,40.39
10007786,University of Bristol,A,6,"Agriculture, Food and Veterinary Sciences",,,,6,11.1,5.8,7,10.87,7,14
10007786,University of Bristol,B,7,Earth Systems and Environmental Sciences,,,,17.25,15.13,22,23.67,17.5,17.5,19.6
10007786,University of Bristol,B,8,Chemistry,,,,55,54.75,53.8,47.15,52.68,48.27,41.13
10007786,University of Bristol,B,9,Physics,,,,14.5,28.8,30.3,23.34,30.46,30.2,31.83
10007786,University of Bristol,B,10,Mathematical Sciences,,,,12.33,18,13.8,18.19,21.5,15.05,11.3
10007786,University of Bristol,B,11,Computer Science and Informatics,,,,28,22.2,18.34,23.2,19.33,18.14,14.88
10007786,University of Bristol,B,12,Engineering,,,,63.54,48.57,79.65,85.11,81.3,90.61,93.97
10007786,University of Bristol,C,14,Geography and Environmental Studies,,,,9.5,16.67,13,12.5,14.33,14.14,16.7
10007786,University of Bristol,C,16,Economics and Econometrics,,,,3.33,8.5,3.5,6.5,2,1,2
10007786,University of Bristol,C,17,Business and Management Studies,,,,0,5.5,7,8,9.5,7.5,4.5
10007786,University of Bristol,C,18,Law,,,,4,9.5,10.9,6.83,5.6,7.5,12
10007786,University of Bristol,C,19,Politics and International Studies,,,,7.5,6,7,8,4.75,9.5,9.8
10007786,University of Bristol,C,20,Social Work and Social Policy,,,,21,25,25,19.5,23.5,22.5,18.5
10007786,University of Bristol,C,21,Sociology,,,,2,1.5,4.5,2,2.75,5.5,5.5
10007786,University of Bristol,C,22,Anthropology and Development Studies,,,,3,6.5,4.35,7.5,6.63,5.4,6
10007786,University of Bristol,C,23,Education,,,,35.5,38.3,27.7,42,23.75,13.33,17.6
10007786,University of Bristol,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,2,2.75,3,0.2,2.5,1
10007786,University of Bristol,D,26,Modern Languages and Linguistics,,,,3,7,4,7.83,11.5,9.5,5
10007786,University of Bristol,D,27,English Language and Literature,,,,8.5,7,6.5,5,6.5,5.5,5.5
10007786,University of Bristol,D,28,History,,,,10.5,13.5,7.5,11,9,14,11.5
10007786,University of Bristol,D,29,Classics,,,,2.25,3.4,3.4,2.5,1.5,3,1.5
10007786,University of Bristol,D,30,Philosophy,,,,5,6,10,5,6,4.5,11
10007786,University of Bristol,D,31,Theology and Religious Studies,,,,2,6,2.5,2,6,2,2
10007786,University of Bristol,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,8.5,6.6,10,10,8,12.33,9
10000961,Brunel University London,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,18,16,17,16,9,13,14
10000961,Brunel University London,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,6,2,8,3,2,4
10000961,Brunel University London,B,7,Earth Systems and Environmental Sciences,,,,2,6,3,3,3,3,0
10000961,Brunel University London,B,10,Mathematical Sciences,,,,8,9,0,7,7,6,2
10000961,Brunel University London,B,11,Computer Science and Informatics,,,,19,21,17,14,17,12,15
10000961,Brunel University London,B,12,Engineering,,,,39,75,83,69,83,57,53
10000961,Brunel University London,C,16,Economics and Econometrics,,,,6,7,9,10,9,4,7
10000961,Brunel University London,C,17,Business and Management Studies,,,,27,23,24,35,29,31,23
10000961,Brunel University London,C,18,Law,,,,14,15,6,11,14,8,10
10000961,Brunel University London,C,19,Politics and International Studies,,,,1,6,3,4,2,3,2
10000961,Brunel University London,C,21,Sociology,,,,3,4,1,4,3,2,3
10000961,Brunel University London,C,22,Anthropology and Development Studies,,,,5,1,2,4,0,1,1
10000961,Brunel University London,C,23,Education,,,,8,1,8,12,0,1,3
10000961,Brunel University London,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,5,7,3,3,7,4,1
10000961,Brunel University London,D,27,English Language and Literature,,,,3,8,5,5,6,4,3
10000961,Brunel University London,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,3,2,8,4,0,7,3
10000975,Buckinghamshire New University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,2,0,1,0,0,4
10000975,Buckinghamshire New University,B,7,Earth Systems and Environmental Sciences,,,,1,1,0,0,0,2,0
10000975,Buckinghamshire New University,C,20,Social Work and Social Policy,,,,0,0,0,1,1,1,0
10000975,Buckinghamshire New University,C,23,Education,,,,0,0,0,0,0,0,1
10000975,Buckinghamshire New University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,0,2,1,1,1,0
10000975,Buckinghamshire New University,D,32,"Art and Design: History, Practice and Theory",,,,2,0,2,1,1,0,0
10007788,University of Cambridge,A,1,Clinical Medicine,,,,94,97,101.5,116.5,111,145,94
10007788,University of Cambridge,A,2,"Public Health, Health Services and Primary Care",,,,19,16,13,17,9,20.5,18
10007788,University of Cambridge,A,4,"Psychology, Psychiatry and Neuroscience",,,,56,74,46.5,68.5,63,51,56
10007788,University of Cambridge,A,5,Biological Sciences,,,,182,160,139.5,133,135.5,140,139
10007788,University of Cambridge,A,6,"Agriculture, Food and Veterinary Sciences",,,,11,11,9,11.5,12.5,15,7
10007788,University of Cambridge,B,7,Earth Systems and Environmental Sciences,,,,20,11,18,13,22,19,21
10007788,University of Cambridge,B,8,Chemistry,,,,65,68,70,81,67,73,60
10007788,University of Cambridge,B,9,Physics,,,,77,81,68,81.5,82,87,75
10007788,University of Cambridge,B,10,Mathematical Sciences,,,,44,46,53.5,52,46,51.5,40
